Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"May 18, 2023",ASV Hamm-Westfalen,Handball Sport Verein Hamburg,27 - 34,31,https://www.daikin-hbl.de/en/match/4f55d6ae-3961-11ef-b239-7fa33ac8682b
"May 18, 2023",VfL Gummersbach,Bergischer HC,37 - 34,31,https://www.daikin-hbl.de/en/match/4f64c9cd-3961-11ef-91bd-7fa33ac8682b
"May 14, 2023",SG Flensburg-Handewitt,VfL Gummersbach,31 - 26,30,https://www.daikin-hbl.de/en/match/4e5aeb06-3961-11ef-a419-7fa33ac8682b
"May 14, 2023",Bergischer HC,Füchse Berlin,34 - 30,30,https://www.daikin-hbl.de/en/match/4ea8919f-3961-11ef-b4bb-7fa33ac8682b
"May 14, 2023",HC Erlangen,TSV Hannover-Burgdorf,33 - 29,30,https://www.daikin-hbl.de/en/match/4eba2f59-3961-11ef-82fa-7fa33ac8682b
"May 14, 2023",GWD Minden,MT Melsungen,21 - 28,30,https://www.daikin-hbl.de/en/match/4ec8ffdc-3961-11ef-ae50-7fa33ac8682b
"May 14, 2023",Rhein-Neckar Löwen,SC Magdeburg,35 - 37,30,https://www.daikin-hbl.de/en/match/4e6b4953-3961-11ef-bdcf-7fa33ac8682b
"May 13, 2023",TVB Stuttgart,THW Kiel,30 - 37,30,https://www.daikin-hbl.de/en/match/4e99bce2-3961-11ef-8e9b-7fa33ac8682b
"May 13, 2023",Handball Sport Verein Hamburg,TBV Lemgo Lippe,28 - 32,30,https://www.daikin-hbl.de/en/match/4ed8fe99-3961-11ef-9e9f-7fa33ac8682b
"May 11, 2023",GWD Minden,SG Flensburg-Handewitt,27 - 41,21,https://www.daikin-hbl.de/en/match/43af4cac-3961-11ef-8e4a-1fafd93a56d6
"May 11, 2023",Füchse Berlin,HC Erlangen,39 - 30,25,https://www.daikin-hbl.de/en/match/4bafe0a1-3961-11ef-8f09-7fa33ac8682b
"May 11, 2023",HSG Wetzlar,ASV Hamm-Westfalen,29 - 24,30,https://www.daikin-hbl.de/en/match/4e7bbe24-3961-11ef-9926-7fa33ac8682b
"May 11, 2023",FRISCH AUF! Göppingen,SC DHfK Leipzig,34 - 30,30,https://www.daikin-hbl.de/en/match/4e8a44db-3961-11ef-b1b9-7fa33ac8682b
"May 7, 2023",THW Kiel,TSV Hannover-Burgdorf,33 - 23,29,https://www.daikin-hbl.de/en/match/4dd37018-3961-11ef-942d-7fa33ac8682b
"May 7, 2023",SC Magdeburg,Bergischer HC,23 - 21,29,https://www.daikin-hbl.de/en/match/4de15163-3961-11ef-9fb5-7fa33ac8682b
"May 7, 2023",SC DHfK Leipzig,GWD Minden,31 - 31,29,https://www.daikin-hbl.de/en/match/4e105c5f-3961-11ef-b573-7fa33ac8682b
"May 7, 2023",VfL Gummersbach,HC Erlangen,32 - 31,29,https://www.daikin-hbl.de/en/match/4e3d1456-3961-11ef-bb38-7fa33ac8682b
"May 7, 2023",Handball Sport Verein Hamburg,HSG Wetzlar,24 - 21,29,https://www.daikin-hbl.de/en/match/4e4bb1f5-3961-11ef-8e08-7fa33ac8682b
"May 7, 2023",Füchse Berlin,SG Flensburg-Handewitt,37 - 33,29,https://www.daikin-hbl.de/en/match/4def0409-3961-11ef-b584-7fa33ac8682b
"May 6, 2023",ASV Hamm-Westfalen,TVB Stuttgart,27 - 27,29,https://www.daikin-hbl.de/en/match/4e2ea962-3961-11ef-b935-7fa33ac8682b
"May 6, 2023",TBV Lemgo Lippe,FRISCH AUF! Göppingen,36 - 33,29,https://www.daikin-hbl.de/en/match/4e1ef4f4-3961-11ef-abda-7fa33ac8682b
"May 4, 2023",SG Flensburg-Handewitt,MT Melsungen,37 - 25,28,https://www.daikin-hbl.de/en/match/4d4a30f5-3961-11ef-8932-7fa33ac8682b
"May 4, 2023",HSG Wetzlar,TBV Lemgo Lippe,26 - 24,28,https://www.daikin-hbl.de/en/match/4d7ae46b-3961-11ef-8fac-7fa33ac8682b
