Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link, victoria_local
"May 24, 2025",TVB Stuttgart,SG BBM Bietigheim,26 - 30,26,https://www.daikin-hbl.de/en/match/761f843d-4374-11ef-b4bd-41ec239e163c
"May 22, 2025",SC Magdeburg,ThSV Eisenach,33 - 32,16,https://www.daikin-hbl.de/en/match/34aafcd3-4374-11ef-9bfd-2d62b338e653
"May 21, 2025",Rhein-Neckar Löwen,VfL Gummersbach,32 - 34,12,https://www.daikin-hbl.de/en/match/1e655967-4374-11ef-8c3d-a94a7d17ff09
"May 19, 2025",MT Melsungen,HSG Wetzlar,33 - 27,30,https://www.daikin-hbl.de/en/match/8c02da6c-4374-11ef-97c1-e12378ed22f2
"May 19, 2025",SC Magdeburg,TSV Hannover-Burgdorf,34 - 28,30,https://www.daikin-hbl.de/en/match/8d042b99-4374-11ef-8aaa-7bb8010abe45
"May 19, 2025",SC DHfK Leipzig,Handball Sport Verein Hamburg,25 - 29,30,https://www.daikin-hbl.de/en/match/8b561056-4374-11ef-bebf-a7a6ca9f38f7
"May 19, 2025",FRISCH AUF! Göppingen,Füchse Berlin,28 - 43,30,https://www.daikin-hbl.de/en/match/8b77e4fb-4374-11ef-a0e6-e12378ed22f2
"May 19, 2025",TBV Lemgo Lippe,SG BBM Bietigheim,33 - 21,30,https://www.daikin-hbl.de/en/match/8da080fa-4374-11ef-924a-210d01075aa0
"May 18, 2025",TVB Stuttgart,HC Erlangen,27 - 30,30,https://www.daikin-hbl.de/en/match/8f45499b-4374-11ef-8e55-e12298712692
"May 18, 2025",SG Flensburg-Handewitt,Rhein-Neckar Löwen,28 - 33,30,https://www.daikin-hbl.de/en/match/8dfbaed8-4374-11ef-8110-f97fb227f741
"May 18, 2025",ThSV Eisenach,VfL Gummersbach,30 - 34,30,https://www.daikin-hbl.de/en/match/900ca5a6-4374-11ef-98e6-470e7eb821cf
"May 18, 2025",1. VfL Potsdam,THW Kiel,22 - 25,30,https://www.daikin-hbl.de/en/match/8fca4434-4374-11ef-a353-1d6cfab56afd
"May 16, 2025",TSV Hannover-Burgdorf,MT Melsungen,23 - 29,29,https://www.daikin-hbl.de/en/match/84909a59-4374-11ef-8e4e-cd77cb69a9df
"May 16, 2025",SG BBM Bietigheim,FRISCH AUF! Göppingen,31 - 30,29,https://www.daikin-hbl.de/en/match/87a53f09-4374-11ef-97c6-7bb8010abe45
"May 15, 2025",Füchse Berlin,ThSV Eisenach,34 - 26,29,https://www.daikin-hbl.de/en/match/86a10fb3-4374-11ef-8ddd-cd77cb69a9df
"May 15, 2025",HSG Wetzlar,SG Flensburg-Handewitt,28 - 34,29,https://www.daikin-hbl.de/en/match/87d70684-4374-11ef-b177-b347f830b623
"May 15, 2025",THW Kiel,TBV Lemgo Lippe,35 - 29,29,https://www.daikin-hbl.de/en/match/89d8860f-4374-11ef-b18d-2722c3133e8d
"May 15, 2025",HC Erlangen,SC DHfK Leipzig,23 - 25,29,https://www.daikin-hbl.de/en/match/858b2510-4374-11ef-ab12-f97fb227f741
"May 15, 2025",Rhein-Neckar Löwen,1. VfL Potsdam,29 - 26,29,https://www.daikin-hbl.de/en/match/88a64f1a-4374-11ef-a6da-b347f830b623
"May 15, 2025",VfL Gummersbach,SC Magdeburg,31 - 32,29,https://www.daikin-hbl.de/en/match/89718a59-4374-11ef-8bb7-a7a6ca9f38f7
"May 15, 2025",Handball Sport Verein Hamburg,TVB Stuttgart,41 - 28,29,https://www.daikin-hbl.de/en/match/89d8df61-4374-11ef-b48c-470e7eb821cf
"May 4, 2025",SC Magdeburg,Handball Sport Verein Hamburg,37 - 28,28,https://www.daikin-hbl.de/en/match/801bf055-4374-11ef-96ad-b347f830b623
"May 4, 2025",FRISCH AUF! Göppingen,HC Erlangen,25 - 24,28,https://www.daikin-hbl.de/en/match/7edb2f5d-4374-11ef-8de3-b347f830b623
