Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"Jun 11, 2023",SG Flensburg-Handewitt,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b
"Jun 11, 2023",HSG Wetzlar,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/509f543a-3961-11ef-ba77-7fa33ac8682b
"Jun 11, 2023",TBV Lemgo Lippe,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/50af09e0-3961-11ef-8eaa-7fa33ac8682b
"Jun 11, 2023",FRISCH AUF! Göppingen,THW Kiel,,,https://www.daikin-hbl.de/en/match/50c04fa4-3961-11ef-a004-7fa33ac8682b
"Jun 11, 2023",TVB Stuttgart,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/50d14770-3961-11ef-a1c4-7fa33ac8682b
"Jun 11, 2023",Bergischer HC,HC Erlangen,,,https://www.daikin-hbl.de/en/match/50e0972f-3961-11ef-8283-7fa33ac8682b
"Jun 11, 2023",GWD Minden,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/50eeb187-3961-11ef-8601-7fa33ac8682b
"Jun 11, 2023",ASV Hamm-Westfalen,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/50fe053a-3961-11ef-a403-7fa33ac8682b
"Jun 11, 2023",Handball Sport Verein Hamburg,MT Melsungen,,,https://www.daikin-hbl.de/en/match/510cc014-3961-11ef-ab3f-7fa33ac8682b
"Jun 8, 2023",SC Magdeburg,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/501198c0-3961-11ef-ae82-7fa33ac8682b
"Jun 8, 2023",TSV Hannover-Burgdorf,GWD Minden,,,https://www.daikin-hbl.de/en/match/501fada7-3961-11ef-99ee-7fa33ac8682b
"Jun 8, 2023",HC Erlangen,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/5071c392-3961-11ef-a524-7fa33ac8682b
