#,Name,G,T%,MSh,7M,FG,A,B,St,2Min,TF,RC,Partido,Jornada,Fecha,Temporada,Link,S,S%,GKGA,S 7M,S% 7M,S FSh,S% FG
5,Julius Kühn,2,40.0,3.0,0.0,2.0,4,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
6,Erik Balenciaga,2,67.0,1.0,0.0,2.0,0,0.0,0.0,0,5.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
8,Adrian Sipos,0,0.0,0.0,0.0,0.0,0,2.0,0.0,1,1.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
10,Dainis Kristopans,3,50.0,3.0,0.0,3.0,4,0.0,0.0,0,1.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
11,Dimitri Ignatow,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
15,Lasse Ohl,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
18,Florian Drosten,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
25,Jan Waldgeubach,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
26,Tom Wolf,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
27,Sindre Aho,1,100.0,0.0,0.0,1.0,0,0.0,0.0,2,2.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
36,Manuel Hörr,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
55,Ivan Martinovic,1,17.0,5.0,0.0,1.0,3,0.0,0.0,0,1.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
73,Timo Kastening,9,69.0,4.0,3.0,6.0,1,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
1,Adam Morawski,0,,,,,0,,,0,,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Nebojsa Simic,0,,,,,0,,,0,,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,17.0,45.0,21.0,1.0,100.0,16.0,43.0
4,Domagoj Duvnjak,1,25.0,3.0,0.0,1.0,3,0.0,1.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
6,Harald Reinkind,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
7,Magnus Landin Jacobsen,2,67.0,1.0,0.0,2.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
11,Petter Øverby,1,25.0,3.0,0.0,1.0,1,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
13,Steffen Weinhold,0,0.0,2.0,0.0,0.0,0,0.0,0.0,0,1.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
17,Patrick Wiencek,0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
18,Niclas Ekberg,2,50.0,2.0,0.0,2.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
20,Jarnes Faust,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
21,Eric Johansson,3,50.0,3.0,0.0,3.0,3,0.0,1.0,0,2.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
23,Rune Dahmke,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
49,Karl Erik Edvin Wallinius,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,1.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
53,Nikola Bilyk,5,71.0,2.0,0.0,5.0,0,0.0,0.0,0,1.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
61,Hendrik Pekeler,2,67.0,1.0,0.0,2.0,1,2.0,0.0,2,0.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
71,Elias Ellefsen á Skipagøtu,5,38.0,8.0,0.0,5.0,1,0.0,0.0,0,2.0,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,,,,,,,
16,Tomas Mrkva,0,,,,,0,,,0,,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,Samir Bellahcene,0,,,,,1,,,0,,0,MT Melsungen vs THW Kiel,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,11.0,33.0,22.0,3.0,60.0,8.0,29.0
2,Branko Vujovic,1,50.0,0.0,0.0,1.0,0,0.0,0.0,0,1.0,0,TSV Hannover-Burgdorf vs HC Erlangen,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abd106ad-3961-11ef-bee2-4f9b0a263832,,,,,,,
4,Adam Nyfjäll,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,TSV Hannover-Burgdorf vs HC Erlangen,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abd106ad-3961-11ef-bee2-4f9b0a263832,,,,,,,
10,Renars Uscins,4,67.0,1.0,0.0,4.0,1,0.0,0.0,0,2.0,0,TSV Hannover-Burgdorf vs HC Erlangen,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abd106ad-3961-11ef-bee2-4f9b0a263832,,,,,,,
22,Marian Michalczik,4,80.0,0.0,0.0,4.0,4,0.0,0.0,0,2.0,0,TSV Hannover-Burgdorf vs HC Erlangen,34,"Jun 2, 2024",2023_24,https://www.daikin-hbl.de/en/match/abd106ad-3961-11ef-bee2-4f9b0a263832,,,,,,,
