Fecha,Equipo local,Equipo visitante,Equipo,Tipo,Link,jugadores_#,jugadores_G,jugadores_T%,jugadores_MSh,jugadores_7M,jugadores_FG,jugadores_A,jugadores_B,jugadores_St,jugadores_2Min,jugadores_TF,jugadores_RC,porteros_#,porteros_S,porteros_S%,porteros_GKGA,porteros_S 7M,porteros_S% 7M,porteros_S FSh,porteros_S% FG,porteros_G,porteros_A,porteros_2Min,porteros_RC
"Jun 8, 2025",SG BBM Bietigheim,SC Magdeburg,SG BBM Bietigheim,local,https://www.daikin-hbl.de/en/match/a3cdd193-4374-11ef-97a0-07b53bf1eaa1,311,25,658,21,4,21,8,2,2,2,11,0,110,7,31,35,1,25,6,30,0,0,0,0
"Jun 8, 2025",SG BBM Bietigheim,SC Magdeburg,SC Magdeburg,visitante,https://www.daikin-hbl.de/en/match/a3cdd193-4374-11ef-97a0-07b53bf1eaa1,276,35,748,12,6,29,11,3,1,2,10,0,81,17,69,24,0,0,17,79,0,0,0,0
