,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
271,29/09/2024,Füchse Berlin,HC Erlangen,30 - 27,4,,30,27,57,1,0
272,29/09/2024,SG BBM Bietigheim,VfL Gummersbach,30 - 32,4,,30,32,62,0,1
273,28/09/2024,Handball Sport Verein Hamburg,TBV Lemgo Lippe,30 - 26,4,,30,26,56,1,0
274,27/09/2024,ThSV Eisenach,SG Flensburg-Handewitt,25 - 30,4,,25,30,55,0,0
275,27/09/2024,FRISCH AUF! Göppingen,TSV Hannover-Burgdorf,31 - 33,4,,31,33,64,0,1
276,26/09/2024,SC DHfK Leipzig,Rhein-Neckar Löwen,28 - 27,4,,28,27,55,1,0
277,26/09/2024,THW Kiel,MT Melsungen,21 - 25,4,,21,25,46,0,0
278,25/09/2024,TVB Stuttgart,VfL Gummersbach,28 - 35,10,,28,35,63,0,1
279,22/09/2024,SC DHfK Leipzig,VfL Gummersbach,34 - 29,3,,34,29,63,1,1
280,22/09/2024,TSV Hannover-Burgdorf,Füchse Berlin,38 - 35,3,,38,35,73,1,1
281,22/09/2024,SC Magdeburg,THW Kiel,24 - 29,3,,24,29,53,0,0
282,21/09/2024,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,37 - 32,3,,37,32,69,1,1
283,21/09/2024,Rhein-Neckar Löwen,MT Melsungen,31 - 26,3,,31,26,57,1,0
284,20/09/2024,1. VfL Potsdam,Handball Sport Verein Hamburg,30 - 31,3,,30,31,61,0,1
285,20/09/2024,HC Erlangen,TVB Stuttgart,25 - 26,3,,25,26,51,0,0
286,19/09/2024,TBV Lemgo Lippe,HSG Wetzlar,28 - 25,3,,28,25,53,1,0
287,19/09/2024,ThSV Eisenach,SG BBM Bietigheim,32 - 35,3,,32,35,67,0,1
288,15/09/2024,VfL Gummersbach,TBV Lemgo Lippe,27 - 29,2,,27,29,56,0,0
289,15/09/2024,TVB Stuttgart,SG Flensburg-Handewitt,25 - 39,2,,25,39,64,0,1
290,15/09/2024,Handball Sport Verein Hamburg,SC Magdeburg,26 - 32,2,,26,32,58,0,0
291,15/09/2024,HSG Wetzlar,TSV Hannover-Burgdorf,25 - 36,2,,25,36,61,0,1
292,15/09/2024,Füchse Berlin,SC DHfK Leipzig,37 - 32,2,,37,32,69,1,1
293,14/09/2024,SG BBM Bietigheim,Rhein-Neckar Löwen,25 - 33,2,,25,33,58,0,0
294,13/09/2024,HC Erlangen,ThSV Eisenach,24 - 28,2,,24,28,52,0,0
295,12/09/2024,MT Melsungen,1. VfL Potsdam,31 - 23,2,,31,23,54,1,0
296,12/09/2024,THW Kiel,FRISCH AUF! Göppingen,33 - 24,2,,33,24,57,1,0
297,08/09/2024,1. VfL Potsdam,SG BBM Bietigheim,26 - 28,1,,26,28,54,0,0
298,08/09/2024,SC DHfK Leipzig,TVB Stuttgart,33 - 24,1,,33,24,57,1,0
299,07/09/2024,ThSV Eisenach,Füchse Berlin,35 - 41,1,,35,41,76,0,1
300,07/09/2024,SC Magdeburg,HSG Wetzlar,35 - 28,1,,35,28,63,1,1
301,06/09/2024,SG Flensburg-Handewitt,HC Erlangen,42 - 28,1,,42,28,70,1,1
302,06/09/2024,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,25 - 25,1,,25,25,50,0,0
303,05/09/2024,Rhein-Neckar Löwen,THW Kiel,32 - 27,1,,32,27,59,1,0
304,05/09/2024,TSV Hannover-Burgdorf,VfL Gummersbach,28 - 32,1,,28,32,60,0,0
305,05/09/2024,TBV Lemgo Lippe,MT Melsungen,20 - 28,1,,20,28,48,0,0
306,02/06/2024,MT Melsungen,THW Kiel,23 - 23,34,,23,23,46,0,0
307,02/06/2024,TSV Hannover-Burgdorf,HC Erlangen,27 - 23,34,,27,23,50,1,0
308,02/06/2024,SC DHfK Leipzig,Rhein-Neckar Löwen,29 - 24,34,,29,24,53,1,0
309,02/06/2024,HBW Balingen-Weilstetten,Handball Sport Verein Hamburg,37 - 30,34,,37,30,67,1,1
310,02/06/2024,SC Magdeburg,HSG Wetzlar,37 - 34,34,,37,34,71,1,1
311,02/06/2024,Bergischer HC,SG Flensburg-Handewitt,30 - 40,34,,30,40,70,0,1
312,02/06/2024,TVB Stuttgart,TBV Lemgo Lippe,29 - 27,34,,29,27,56,1,0
313,02/06/2024,VfL Gummersbach,FRISCH AUF! Göppingen,33 - 32,34,,33,32,65,1,1
314,02/06/2024,ThSV Eisenach,Füchse Berlin,27 - 31,34,,27,31,58,0,0
315,30/05/2024,Rhein-Neckar Löwen,SC Magdeburg,21 - 34,33,,21,34,55,0,0
316,30/05/2024,SG Flensburg-Handewitt,VfL Gummersbach,28 - 34,33,,28,34,62,0,1
317,30/05/2024,Füchse Berlin,Bergischer HC,29 - 30,33,,29,30,59,0,0
318,29/05/2024,TBV Lemgo Lippe,HBW Balingen-Weilstetten,37 - 27,33,,37,27,64,1,1
319,29/05/2024,THW Kiel,SC DHfK Leipzig,37 - 28,33,,37,28,65,1,1
320,29/05/2024,HSG Wetzlar,TSV Hannover-Burgdorf,32 - 32,33,,32,32,64,0,1
321,29/05/2024,FRISCH AUF! Göppingen,MT Melsungen,22 - 32,33,,22,32,54,0,0
322,29/05/2024,HC Erlangen,TVB Stuttgart,26 - 23,33,,26,23,49,1,0
323,29/05/2024,Handball Sport Verein Hamburg,ThSV Eisenach,33 - 29,33,,33,29,62,1,1
324,26/05/2024,VfL Gummersbach,THW Kiel,40 - 29,19,,40,29,69,1,1
325,26/05/2024,SC Magdeburg,SC DHfK Leipzig,30 - 28,23,,30,28,58,1,0
326,23/05/2024,SC Magdeburg,HBW Balingen-Weilstetten,43 - 29,30,,43,29,72,1,1
327,20/05/2024,THW Kiel,FRISCH AUF! Göppingen,32 - 27,32,,32,27,59,1,0
328,19/05/2024,VfL Gummersbach,Rhein-Neckar Löwen,31 - 26,32,,31,26,57,1,0
329,19/05/2024,Bergischer HC,TBV Lemgo Lippe,31 - 31,32,,31,31,62,0,1
330,18/05/2024,TSV Hannover-Burgdorf,Füchse Berlin,25 - 28,32,,25,28,53,0,0
331,18/05/2024,ThSV Eisenach,SG Flensburg-Handewitt,28 - 27,32,,28,27,55,1,0
332,18/05/2024,SC DHfK Leipzig,Handball Sport Verein Hamburg,39 - 27,32,,39,27,66,1,1
333,18/05/2024,HC Erlangen,SC Magdeburg,27 - 32,12,,27,32,59,0,0
334,17/05/2024,TVB Stuttgart,HBW Balingen-Weilstetten,30 - 27,32,,30,27,57,1,0
335,17/05/2024,MT Melsungen,HSG Wetzlar,21 - 23,32,,21,23,44,0,0
336,16/05/2024,THW Kiel,Rhein-Neckar Löwen,26 - 30,30,,26,30,56,0,0
337,15/05/2024,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,30 - 41,20,,30,41,71,0,1
338,05/05/2024,HSG Wetzlar,THW Kiel,27 - 29,31,,27,29,56,0,0
339,05/05/2024,Füchse Berlin,VfL Gummersbach,29 - 26,31,,29,26,55,1,0
340,05/05/2024,TBV Lemgo Lippe,SC Magdeburg,28 - 34,31,,28,34,62,0,1
341,04/05/2024,Rhein-Neckar Löwen,TSV Hannover-Burgdorf,27 - 29,31,,27,29,56,0,0
342,04/05/2024,SG Flensburg-Handewitt,TVB Stuttgart,39 - 31,31,,39,31,70,1,1
343,03/05/2024,HBW Balingen-Weilstetten,ThSV Eisenach,21 - 34,31,,21,34,55,0,0
344,03/05/2024,FRISCH AUF! Göppingen,SC DHfK Leipzig,27 - 30,31,,27,30,57,0,0
345,02/05/2024,Handball Sport Verein Hamburg,Bergischer HC,32 - 30,31,,32,30,62,1,1
346,01/05/2024,HC Erlangen,MT Melsungen,31 - 31,31,,31,31,62,0,1
347,28/04/2024,Bergischer HC,HC Erlangen,28 - 25,30,,28,25,53,1,0
348,28/04/2024,TVB Stuttgart,Handball Sport Verein Hamburg,35 - 26,30,,35,26,61,1,1
349,27/04/2024,MT Melsungen,Füchse Berlin,30 - 28,30,,30,28,58,1,0
350,27/04/2024,VfL Gummersbach,HSG Wetzlar,35 - 28,30,,35,28,63,1,1
351,26/04/2024,SC DHfK Leipzig,SG Flensburg-Handewitt,32 - 35,30,,32,35,67,0,1
352,26/04/2024,ThSV Eisenach,TBV Lemgo Lippe,25 - 30,30,,25,30,55,0,0
353,26/04/2024,TSV Hannover-Burgdorf,FRISCH AUF! Göppingen,33 - 26,30,,33,26,59,1,0
354,21/04/2024,HC Erlangen,SC DHfK Leipzig,26 - 29,29,,26,29,55,0,0
355,21/04/2024,Handball Sport Verein Hamburg,VfL Gummersbach,33 - 33,29,,33,33,66,0,1
356,21/04/2024,Füchse Berlin,THW Kiel,32 - 32,29,,32,32,64,0,1
357,20/04/2024,ThSV Eisenach,TVB Stuttgart,33 - 28,29,,33,28,61,1,1
358,19/04/2024,SG Flensburg-Handewitt,SC Magdeburg,29 - 32,29,,29,32,61,0,1
359,19/04/2024,HBW Balingen-Weilstetten,Bergischer HC,21 - 25,29,,21,25,46,0,0
360,18/04/2024,FRISCH AUF! Göppingen,HSG Wetzlar,32 - 27,29,,32,27,59,1,0
361,18/04/2024,TBV Lemgo Lippe,TSV Hannover-Burgdorf,28 - 23,29,,28,23,51,1,0
362,18/04/2024,Rhein-Neckar Löwen,MT Melsungen,23 - 28,29,,23,28,51,0,0
363,12/04/2024,SC DHfK Leipzig,TSV Hannover-Burgdorf,26 - 27,21,,26,27,53,0,0
364,12/04/2024,Handball Sport Verein Hamburg,THW Kiel,28 - 28,25,,28,28,56,0,0
365,12/04/2024,Rhein-Neckar Löwen,Bergischer HC,35 - 29,20,,35,29,64,1,1
366,07/04/2024,SC Magdeburg,TVB Stuttgart,40 - 31,28,,40,31,71,1,1
367,07/04/2024,Bergischer HC,ThSV Eisenach,27 - 30,28,,27,30,57,0,0
368,07/04/2024,HSG Wetzlar,Rhein-Neckar Löwen,30 - 27,28,,30,27,57,1,0
369,07/04/2024,SC DHfK Leipzig,TBV Lemgo Lippe,29 - 28,28,,29,28,57,1,0
370,06/04/2024,MT Melsungen,SG Flensburg-Handewitt,25 - 25,28,,25,25,50,0,0
371,06/04/2024,THW Kiel,HC Erlangen,31 - 27,28,,31,27,58,1,0
372,05/04/2024,TSV Hannover-Burgdorf,Handball Sport Verein Hamburg,25 - 26,28,,25,26,51,0,0
373,05/04/2024,VfL Gummersbach,HBW Balingen-Weilstetten,33 - 25,28,,33,25,58,1,0
374,04/04/2024,FRISCH AUF! Göppingen,Füchse Berlin,27 - 32,28,,27,32,59,0,0
375,01/04/2024,Handball Sport Verein Hamburg,MT Melsungen,29 - 22,27,,29,22,51,1,0
376,31/03/2024,TBV Lemgo Lippe,THW Kiel,27 - 28,27,,27,28,55,0,0
377,31/03/2024,Rhein-Neckar Löwen,FRISCH AUF! Göppingen,33 - 29,27,,33,29,62,1,1
378,31/03/2024,ThSV Eisenach,SC Magdeburg,25 - 35,27,,25,35,60,0,0
379,31/03/2024,HC Erlangen,VfL Gummersbach,31 - 34,27,,31,34,65,0,1
380,31/03/2024,Füchse Berlin,HSG Wetzlar,32 - 30,27,,32,30,62,1,1
381,30/03/2024,SG Flensburg-Handewitt,TSV Hannover-Burgdorf,31 - 28,27,,31,28,59,1,0
382,30/03/2024,HBW Balingen-Weilstetten,SC DHfK Leipzig,17 - 25,27,,17,25,42,0,0
383,28/03/2024,TVB Stuttgart,Bergischer HC,27 - 26,27,,27,26,53,1,0
384,24/03/2024,FRISCH AUF! Göppingen,HC Erlangen,32 - 29,26,,32,29,61,1,1
385,24/03/2024,SC DHfK Leipzig,ThSV Eisenach,29 - 31,26,,29,31,60,0,0
386,24/03/2024,VfL Gummersbach,TVB Stuttgart,35 - 27,26,,35,27,62,1,1
387,24/03/2024,Füchse Berlin,HBW Balingen-Weilstetten,35 - 34,20,,35,34,69,1,1
388,24/03/2024,Bergischer HC,SC Magdeburg,27 - 30,26,,27,30,57,0,0
389,23/03/2024,HSG Wetzlar,Handball Sport Verein Hamburg,25 - 27,26,,25,27,52,0,0
390,23/03/2024,THW Kiel,SG Flensburg-Handewitt,26 - 33,26,,26,33,59,0,0
391,22/03/2024,MT Melsungen,TBV Lemgo Lippe,26 - 25,26,,26,25,51,1,0
392,21/03/2024,Rhein-Neckar Löwen,Füchse Berlin,28 - 36,26,,28,36,64,0,1
393,21/03/2024,TSV Hannover-Burgdorf,HBW Balingen-Weilstetten,35 - 26,26,,35,26,61,1,1
394,21/03/2024,SC Magdeburg,HC Erlangen,27 - 22,32,,27,22,49,1,0
395,10/03/2024,Bergischer HC,VfL Gummersbach,24 - 31,25,,24,31,55,0,0
396,10/03/2024,SC Magdeburg,Füchse Berlin,31 - 28,25,,31,28,59,1,0
397,10/03/2024,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,35 - 30,25,,35,30,65,1,1
398,09/03/2024,HC Erlangen,Rhein-Neckar Löwen,28 - 23,25,,28,23,51,1,0
399,08/03/2024,ThSV Eisenach,TSV Hannover-Burgdorf,31 - 31,25,,31,31,62,0,1
400,08/03/2024,HBW Balingen-Weilstetten,MT Melsungen,22 - 25,25,,22,25,47,0,0
401,07/03/2024,TBV Lemgo Lippe,HSG Wetzlar,31 - 23,25,,31,23,54,1,0
402,07/03/2024,TVB Stuttgart,SC DHfK Leipzig,25 - 27,25,,25,27,52,0,0
403,04/03/2024,FRISCH AUF! Göppingen,TBV Lemgo Lippe,26 - 32,24,,26,32,58,0,0
404,03/03/2024,SC DHfK Leipzig,MT Melsungen,32 - 27,20,,32,27,59,1,0
405,03/03/2024,Füchse Berlin,HC Erlangen,39 - 32,24,,39,32,71,1,1
406,02/03/2024,VfL Gummersbach,SC Magdeburg,30 - 38,24,,30,38,68,0,1
407,02/03/2024,HSG Wetzlar,SG Flensburg-Handewitt,30 - 31,24,,30,31,61,0,1
408,02/03/2024,THW Kiel,HBW Balingen-Weilstetten,36 - 29,24,,36,29,65,1,1
409,29/02/2024,SC DHfK Leipzig,Bergischer HC,33 - 22,24,,33,22,55,1,0
410,29/02/2024,TSV Hannover-Burgdorf,TVB Stuttgart,33 - 30,24,,33,30,63,1,1
411,29/02/2024,MT Melsungen,ThSV Eisenach,27 - 26,24,,27,26,53,1,0
412,29/02/2024,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,34 - 36,24,,34,36,70,0,1
413,25/02/2024,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,33 - 31,23,,33,31,64,1,1
414,25/02/2024,THW Kiel,ThSV Eisenach,31 - 27,23,,31,27,58,1,0
415,25/02/2024,SG Flensburg-Handewitt,Füchse Berlin,31 - 31,23,,31,31,62,0,1
416,24/02/2024,HBW Balingen-Weilstetten,Rhein-Neckar Löwen,31 - 33,23,,31,33,64,0,1
417,24/02/2024,HC Erlangen,HSG Wetzlar,26 - 27,23,,26,27,53,0,0
418,24/02/2024,Bergischer HC,TSV Hannover-Burgdorf,26 - 29,23,,26,29,55,0,0
419,23/02/2024,TBV Lemgo Lippe,VfL Gummersbach,23 - 26,23,,23,26,49,0,0
420,22/02/2024,TVB Stuttgart,MT Melsungen,33 - 31,23,,33,31,64,1,1
421,19/02/2024,VfL Gummersbach,SC DHfK Leipzig,30 - 29,22,,30,29,59,1,0
422,18/02/2024,THW Kiel,TVB Stuttgart,39 - 36,22,,39,36,75,1,1
423,18/02/2024,Rhein-Neckar Löwen,SG Flensburg-Handewitt,26 - 35,22,,26,35,61,0,1
424,18/02/2024,TSV Hannover-Burgdorf,SC Magdeburg,28 - 27,22,,28,27,55,1,0
425,17/02/2024,Füchse Berlin,TBV Lemgo Lippe,30 - 26,22,,30,26,56,1,0
426,16/02/2024,MT Melsungen,Bergischer HC,31 - 26,22,,31,26,57,1,0
427,16/02/2024,HC Erlangen,Handball Sport Verein Hamburg,30 - 28,22,,30,28,58,1,0
428,15/02/2024,FRISCH AUF! Göppingen,ThSV Eisenach,35 - 31,22,,35,31,66,1,1
429,15/02/2024,HSG Wetzlar,HBW Balingen-Weilstetten,16 - 21,22,,16,21,37,0,0
430,11/02/2024,TBV Lemgo Lippe,Rhein-Neckar Löwen,33 - 25,21,,33,25,58,1,0
431,11/02/2024,SC Magdeburg,MT Melsungen,39 - 24,21,,39,24,63,1,1
432,11/02/2024,SG Flensburg-Handewitt,HC Erlangen,32 - 25,21,,32,25,57,1,0
433,11/02/2024,TVB Stuttgart,HSG Wetzlar,30 - 25,21,,30,25,55,1,0
434,11/02/2024,Handball Sport Verein Hamburg,Füchse Berlin,30 - 32,21,,30,32,62,0,1
435,11/02/2024,Bergischer HC,THW Kiel,25 - 29,21,,25,29,54,0,0
436,10/02/2024,HBW Balingen-Weilstetten,FRISCH AUF! Göppingen,30 - 29,21,,30,29,59,1,0
437,10/02/2024,ThSV Eisenach,VfL Gummersbach,24 - 26,21,,24,26,50,0,0
438,08/02/2024,Füchse Berlin,SG Flensburg-Handewitt,32 - 31,12,,32,31,63,1,1
439,08/02/2024,HC Erlangen,TBV Lemgo Lippe,26 - 25,20,,26,25,51,1,0
440,07/02/2024,THW Kiel,SC Magdeburg,26 - 33,20,,26,33,59,0,0
441,07/02/2024,TSV Hannover-Burgdorf,VfL Gummersbach,32 - 29,20,,32,29,61,1,1
442,07/02/2024,FRISCH AUF! Göppingen,TVB Stuttgart,25 - 25,20,,25,25,50,0,0
443,07/02/2024,HSG Wetzlar,ThSV Eisenach,31 - 30,20,,31,30,61,1,1
444,23/12/2023,ThSV Eisenach,HC Erlangen,28 - 26,19,,28,26,54,1,0
445,23/12/2023,Bergischer HC,HSG Wetzlar,23 - 28,19,,23,28,51,0,0
446,23/12/2023,TVB Stuttgart,Rhein-Neckar Löwen,32 - 31,19,,32,31,63,1,1
447,23/12/2023,TBV Lemgo Lippe,Handball Sport Verein Hamburg,34 - 34,19,,34,34,68,0,1
448,22/12/2023,TSV Hannover-Burgdorf,MT Melsungen,30 - 34,19,,30,34,64,0,1
449,22/12/2023,Füchse Berlin,SC DHfK Leipzig,37 - 28,19,,37,28,65,1,1
450,22/12/2023,HBW Balingen-Weilstetten,SG Flensburg-Handewitt,32 - 34,19,,32,34,66,0,1
451,22/12/2023,SC Magdeburg,FRISCH AUF! Göppingen,31 - 27,19,,31,27,58,1,0
452,20/12/2023,THW Kiel,TSV Hannover-Burgdorf,34 - 20,18,,34,20,54,1,0
453,20/12/2023,MT Melsungen,VfL Gummersbach,26 - 25,18,,26,25,51,1,0
454,20/12/2023,FRISCH AUF! Göppingen,Bergischer HC,31 - 28,18,,31,28,59,1,0
455,20/12/2023,HSG Wetzlar,SC DHfK Leipzig,30 - 27,18,,30,27,57,1,0
456,20/12/2023,Rhein-Neckar Löwen,ThSV Eisenach,26 - 27,18,,26,27,53,0,0
457,19/12/2023,SG Flensburg-Handewitt,TBV Lemgo Lippe,34 - 29,18,,34,29,63,1,1
458,19/12/2023,Füchse Berlin,TVB Stuttgart,32 - 27,18,,32,27,59,1,0
459,19/12/2023,Handball Sport Verein Hamburg,SC Magdeburg,28 - 43,18,,28,43,71,0,1
460,19/12/2023,HC Erlangen,HBW Balingen-Weilstetten,22 - 22,18,,22,22,44,0,0
461,17/12/2023,TSV Hannover-Burgdorf,Bergischer HC,37 - 28,17,,37,28,65,1,1
462,17/12/2023,SC DHfK Leipzig,VfL Gummersbach,32 - 35,17,,32,35,67,0,1
463,16/12/2023,Handball Sport Verein Hamburg,HBW Balingen-Weilstetten,28 - 28,17,,28,28,56,0,0
464,16/12/2023,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,32 - 31,17,,32,31,63,1,1
465,16/12/2023,TBV Lemgo Lippe,Füchse Berlin,29 - 32,17,,29,32,61,0,1
466,16/12/2023,HSG Wetzlar,MT Melsungen,28 - 27,17,,28,27,55,1,0
467,16/12/2023,SC Magdeburg,Rhein-Neckar Löwen,38 - 24,17,,38,24,62,1,1
468,15/12/2023,ThSV Eisenach,THW Kiel,32 - 40,17,,32,40,72,0,1
469,15/12/2023,TVB Stuttgart,HC Erlangen,29 - 30,17,,29,30,59,0,0
470,10/12/2023,Bergischer HC,TVB Stuttgart,33 - 28,16,,33,28,61,1,1
471,10/12/2023,MT Melsungen,SC Magdeburg,29 - 29,16,,29,29,58,0,0
472,10/12/2023,Füchse Berlin,FRISCH AUF! Göppingen,29 - 29,16,,29,29,58,0,0
473,10/12/2023,HBW Balingen-Weilstetten,TSV Hannover-Burgdorf,25 - 29,16,,25,29,54,0,0
474,09/12/2023,HC Erlangen,THW Kiel,27 - 31,16,,27,31,58,0,0
475,09/12/2023,Rhein-Neckar Löwen,TBV Lemgo Lippe,34 - 34,16,,34,34,68,0,1
476,08/12/2023,ThSV Eisenach,SC DHfK Leipzig,25 - 24,16,,25,24,49,1,0
477,08/12/2023,SG Flensburg-Handewitt,HSG Wetzlar,33 - 26,16,,33,26,59,1,0
478,07/12/2023,VfL Gummersbach,Handball Sport Verein Hamburg,24 - 23,16,,24,23,47,1,0
479,03/12/2023,SC Magdeburg,VfL Gummersbach,32 - 30,15,,32,30,62,1,1
480,03/12/2023,THW Kiel,Bergischer HC,39 - 30,15,,39,30,69,1,1
481,03/12/2023,SC DHfK Leipzig,HC Erlangen,20 - 19,15,,20,19,39,1,0
482,02/12/2023,Handball Sport Verein Hamburg,Rhein-Neckar Löwen,32 - 36,15,,32,36,68,0,1
483,02/12/2023,TVB Stuttgart,TSV Hannover-Burgdorf,32 - 28,15,,32,28,60,1,0
484,01/12/2023,SG Flensburg-Handewitt,MT Melsungen,34 - 24,15,,34,24,58,1,0
485,01/12/2023,HSG Wetzlar,Füchse Berlin,30 - 36,15,,30,36,66,0,1
486,30/11/2023,FRISCH AUF! Göppingen,HBW Balingen-Weilstetten,32 - 28,15,,32,28,60,1,0
487,30/11/2023,TBV Lemgo Lippe,ThSV Eisenach,26 - 24,15,,26,24,50,1,0
488,26/11/2023,Füchse Berlin,Handball Sport Verein Hamburg,37 - 31,14,,37,31,68,1,1
489,26/11/2023,Rhein-Neckar Löwen,HSG Wetzlar,26 - 21,14,,26,21,47,1,0
490,26/11/2023,HBW Balingen-Weilstetten,SC Magdeburg,28 - 34,14,,28,34,62,0,1
491,26/11/2023,TVB Stuttgart,THW Kiel,31 - 36,14,,31,36,67,0,1
492,25/11/2023,VfL Gummersbach,SG Flensburg-Handewitt,32 - 42,14,,32,42,74,0,1
493,25/11/2023,TSV Hannover-Burgdorf,TBV Lemgo Lippe,34 - 32,14,,34,32,66,1,1
494,24/11/2023,HC Erlangen,FRISCH AUF! Göppingen,28 - 26,14,,28,26,54,1,0
495,24/11/2023,ThSV Eisenach,MT Melsungen,24 - 27,14,,24,27,51,0,0
496,23/11/2023,Bergischer HC,SC DHfK Leipzig,31 - 31,14,,31,31,62,0,1
497,20/11/2023,HSG Wetzlar,VfL Gummersbach,33 - 31,13,,33,31,64,1,1
498,19/11/2023,THW Kiel,Füchse Berlin,30 - 26,13,,30,26,56,1,0
499,19/11/2023,SC Magdeburg,ThSV Eisenach,38 - 31,13,,38,31,69,1,1
500,19/11/2023,MT Melsungen,HBW Balingen-Weilstetten,26 - 24,13,,26,24,50,1,0
501,18/11/2023,SG Flensburg-Handewitt,Rhein-Neckar Löwen,33 - 25,13,,33,25,58,1,0
502,17/11/2023,Handball Sport Verein Hamburg,HC Erlangen,31 - 23,13,,31,23,54,1,0
503,17/11/2023,FRISCH AUF! Göppingen,TSV Hannover-Burgdorf,32 - 25,13,,32,25,57,1,0
504,16/11/2023,SC DHfK Leipzig,TVB Stuttgart,36 - 30,13,,36,30,66,1,1
505,16/11/2023,TBV Lemgo Lippe,Bergischer HC,31 - 28,13,,31,28,59,1,0
506,13/11/2023,HBW Balingen-Weilstetten,TBV Lemgo Lippe,26 - 30,12,,26,30,56,0,0
507,12/11/2023,VfL Gummersbach,MT Melsungen,37 - 31,12,,37,31,68,1,1
508,12/11/2023,Rhein-Neckar Löwen,THW Kiel,25 - 31,3,,25,31,56,0,0
509,11/11/2023,Bergischer HC,Handball Sport Verein Hamburg,29 - 28,12,,29,28,57,1,0
510,10/11/2023,TVB Stuttgart,FRISCH AUF! Göppingen,31 - 29,12,,31,29,60,1,0
511,10/11/2023,ThSV Eisenach,HSG Wetzlar,23 - 27,12,,23,27,50,0,0
512,09/11/2023,TSV Hannover-Burgdorf,THW Kiel,36 - 33,12,,36,33,69,1,1
513,09/11/2023,Rhein-Neckar Löwen,SC DHfK Leipzig,32 - 28,12,,32,28,60,1,0
514,29/10/2023,SC Magdeburg,Bergischer HC,40 - 28,11,,40,28,68,1,1
515,29/10/2023,HSG Wetzlar,TVB Stuttgart,31 - 31,7,,31,31,62,0,1
516,29/10/2023,FRISCH AUF! Göppingen,THW Kiel,27 - 34,11,,27,34,61,0,1
517,29/10/2023,SC DHfK Leipzig,HBW Balingen-Weilstetten,26 - 25,11,,26,25,51,1,0
518,28/10/2023,SG Flensburg-Handewitt,ThSV Eisenach,35 - 28,11,,35,28,63,1,1
519,28/10/2023,MT Melsungen,Rhein-Neckar Löwen,30 - 23,11,,30,23,53,1,0
520,27/10/2023,VfL Gummersbach,Füchse Berlin,30 - 30,11,,30,30,60,0,0
521,27/10/2023,Handball Sport Verein Hamburg,TSV Hannover-Burgdorf,28 - 30,11,,28,30,58,0,0
522,26/10/2023,TBV Lemgo Lippe,TVB Stuttgart,31 - 25,11,,31,25,56,1,0
523,26/10/2023,HSG Wetzlar,HC Erlangen,26 - 31,11,,26,31,57,0,0
524,22/10/2023,Rhein-Neckar Löwen,VfL Gummersbach,28 - 26,10,,28,26,54,1,0
525,22/10/2023,TVB Stuttgart,SC Magdeburg,25 - 31,10,,25,31,56,0,0
526,22/10/2023,THW Kiel,TBV Lemgo Lippe,33 - 29,10,,33,29,62,1,1
527,21/10/2023,Bergischer HC,FRISCH AUF! Göppingen,33 - 30,10,,33,30,63,1,1
528,21/10/2023,HC Erlangen,SG Flensburg-Handewitt,22 - 27,10,,22,27,49,0,0
529,20/10/2023,ThSV Eisenach,Handball Sport Verein Hamburg,28 - 32,10,,28,32,60,0,0
530,20/10/2023,TSV Hannover-Burgdorf,SC DHfK Leipzig,25 - 25,10,,25,25,50,0,0
531,20/10/2023,HBW Balingen-Weilstetten,HSG Wetzlar,27 - 30,10,,27,30,57,0,0
532,19/10/2023,Füchse Berlin,MT Melsungen,37 - 31,10,,37,31,68,1,1
533,16/10/2023,MT Melsungen,HC Erlangen,32 - 25,9,,32,25,57,1,0
534,15/10/2023,TBV Lemgo Lippe,FRISCH AUF! Göppingen,21 - 26,9,,21,26,47,0,0
535,15/10/2023,SG Flensburg-Handewitt,HBW Balingen-Weilstetten,32 - 28,9,,32,28,60,1,0
536,15/10/2023,SC Magdeburg,TSV Hannover-Burgdorf,31 - 29,9,,31,29,60,1,0
537,14/10/2023,SC DHfK Leipzig,THW Kiel,35 - 34,9,,35,34,69,1,1
538,13/10/2023,VfL Gummersbach,ThSV Eisenach,37 - 31,9,,37,31,68,1,1
539,13/10/2023,HSG Wetzlar,Bergischer HC,28 - 32,9,,28,32,60,0,0
540,12/10/2023,Füchse Berlin,Rhein-Neckar Löwen,38 - 32,9,,38,32,70,1,1
541,12/10/2023,Handball Sport Verein Hamburg,TVB Stuttgart,31 - 36,9,,31,36,67,0,1
542,11/10/2023,SG Flensburg-Handewitt,SC DHfK Leipzig,34 - 24,3,,34,24,58,1,0
543,09/10/2023,ThSV Eisenach,Rhein-Neckar Löwen,29 - 26,8,,29,26,55,1,0
544,08/10/2023,TVB Stuttgart,SG Flensburg-Handewitt,34 - 31,8,,34,31,65,1,1
545,08/10/2023,TSV Hannover-Burgdorf,HSG Wetzlar,30 - 33,8,,30,33,63,0,1
546,08/10/2023,TBV Lemgo Lippe,SC DHfK Leipzig,22 - 28,8,,22,28,50,0,0
