,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
62,03/05/2025,1. VfL Potsdam,SG Flensburg-Handewitt,26 - 34,28,,26,34,60,0,0
63,02/05/2025,ThSV Eisenach,TSV Hannover-Burgdorf,26 - 31,28,,26,31,57,0,0
64,02/05/2025,TBV Lemgo Lippe,VfL Gummersbach,35 - 26,28,,35,26,61,1,1
65,01/05/2025,SC DHfK Leipzig,HSG Wetzlar,30 - 18,28,,30,18,48,1,0
66,01/05/2025,HC Erlangen,Rhein-Neckar Löwen,34 - 25,33,,34,25,59,1,0
67,27/04/2025,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,31 - 30,27,,31,30,61,1,1
68,27/04/2025,HSG Wetzlar,SC Magdeburg,29 - 32,27,,29,32,61,0,1
69,26/04/2025,SG Flensburg-Handewitt,TVB Stuttgart,32 - 27,27,,32,27,59,1,0
70,26/04/2025,HC Erlangen,MT Melsungen,25 - 31,27,,25,31,56,0,0
71,26/04/2025,SG BBM Bietigheim,ThSV Eisenach,26 - 34,27,,26,34,60,0,0
72,25/04/2025,TSV Hannover-Burgdorf,TBV Lemgo Lippe,30 - 29,27,,30,29,59,1,0
73,25/04/2025,VfL Gummersbach,1. VfL Potsdam,31 - 27,27,,31,27,58,1,0
74,24/04/2025,Rhein-Neckar Löwen,SC DHfK Leipzig,35 - 34,27,,35,34,69,1,1
75,20/04/2025,Füchse Berlin,TSV Hannover-Burgdorf,37 - 33,26,,37,33,70,1,1
76,19/04/2025,MT Melsungen,VfL Gummersbach,26 - 25,26,,26,25,51,1,0
77,19/04/2025,SC Magdeburg,Rhein-Neckar Löwen,30 - 27,26,,30,27,57,1,0
78,19/04/2025,FRISCH AUF! Göppingen,THW Kiel,29 - 36,26,,29,36,65,0,1
79,17/04/2025,TBV Lemgo Lippe,Handball Sport Verein Hamburg,41 - 29,26,,41,29,70,1,1
80,17/04/2025,SC DHfK Leipzig,SG Flensburg-Handewitt,31 - 33,26,,31,33,64,0,1
81,17/04/2025,1. VfL Potsdam,HSG Wetzlar,32 - 28,26,,32,28,60,1,0
82,17/04/2025,ThSV Eisenach,HC Erlangen,26 - 26,26,,26,26,52,0,0
83,16/04/2025,SC Magdeburg,TVB Stuttgart,31 - 20,24,,31,20,51,1,0
84,16/04/2025,THW Kiel,Füchse Berlin,34 - 36,27,,34,36,70,0,1
85,10/04/2025,TBV Lemgo Lippe,1. VfL Potsdam,32 - 23,15,,32,23,55,1,0
86,10/04/2025,SC Magdeburg,HC Erlangen,30 - 19,17,,30,19,49,1,0
87,06/04/2025,TSV Hannover-Burgdorf,FRISCH AUF! Göppingen,30 - 36,25,,30,36,66,0,1
88,06/04/2025,SC DHfK Leipzig,SC Magdeburg,30 - 31,25,,30,31,61,0,1
89,06/04/2025,SG Flensburg-Handewitt,ThSV Eisenach,39 - 39,25,,39,39,78,0,1
90,05/04/2025,THW Kiel,VfL Gummersbach,31 - 25,25,,31,25,56,1,0
91,05/04/2025,HC Erlangen,Füchse Berlin,31 - 31,25,,31,31,62,0,1
92,05/04/2025,SG BBM Bietigheim,MT Melsungen,28 - 32,25,,28,32,60,0,0
93,05/04/2025,Rhein-Neckar Löwen,TBV Lemgo Lippe,33 - 26,25,,33,26,59,1,0
94,04/04/2025,HSG Wetzlar,TVB Stuttgart,26 - 28,25,,26,28,54,0,0
95,03/04/2025,Handball Sport Verein Hamburg,1. VfL Potsdam,28 - 23,25,,28,23,51,1,0
96,30/03/2025,Füchse Berlin,Handball Sport Verein Hamburg,40 - 35,24,,40,35,75,1,1
97,29/03/2025,TBV Lemgo Lippe,SG Flensburg-Handewitt,34 - 29,24,,34,29,63,1,1
98,29/03/2025,1. VfL Potsdam,HC Erlangen,23 - 26,24,,23,26,49,0,0
99,29/03/2025,MT Melsungen,THW Kiel,27 - 22,24,,27,22,49,1,0
100,28/03/2025,FRISCH AUF! Göppingen,SC DHfK Leipzig,29 - 27,24,,29,27,56,1,0
101,28/03/2025,ThSV Eisenach,Rhein-Neckar Löwen,30 - 35,24,,30,35,65,0,1
102,27/03/2025,TSV Hannover-Burgdorf,SG BBM Bietigheim,32 - 18,24,,32,18,50,1,0
103,27/03/2025,VfL Gummersbach,HSG Wetzlar,33 - 24,24,,33,24,57,1,0
104,23/03/2025,SC DHfK Leipzig,TBV Lemgo Lippe,26 - 35,23,,26,35,61,0,1
105,23/03/2025,HSG Wetzlar,FRISCH AUF! Göppingen,30 - 26,23,,30,26,56,1,0
106,23/03/2025,TVB Stuttgart,ThSV Eisenach,31 - 30,23,,31,30,61,1,1
107,22/03/2025,SG Flensburg-Handewitt,THW Kiel,36 - 33,23,,36,33,69,1,1
108,22/03/2025,HC Erlangen,VfL Gummersbach,24 - 31,23,,24,31,55,0,0
109,22/03/2025,SG BBM Bietigheim,1. VfL Potsdam,30 - 28,23,,30,28,58,1,0
110,21/03/2025,SC Magdeburg,Füchse Berlin,30 - 33,23,,30,33,63,0,1
