Fecha,Equipo local,Equipo visitante,Equipo,Tipo,Link,jugadores_#,jugadores_G,jugadores_T%,jugadores_MSh,jugadores_7M,jugadores_FG,jugadores_A,jugadores_B,jugadores_St,jugadores_2Min,jugadores_TF,jugadores_RC,porteros_#,porteros_S,porteros_S%,porteros_GKGA,porteros_S 7M,porteros_S% 7M,porteros_S FSh,porteros_S% FG,porteros_G,porteros_A,porteros_2Min,porteros_RC,id_partido,goles_local,goles_visitante,victoria_local
2024-05-29,THW Kiel,SC DHfK Leipzig,THW Kiel,local,https://www.daikin-hbl.de/en/match/abad3b46-3961-11ef-940d-4f9b0a263832,357.0,37.0,928.0,2.0,4.0,33.0,13.0,1.0,6.0,0.0,17.0,0.0,50.0,15.0,83.0,28.0,1.0,50.0,14.0,82.0,0.0,0.0,0.0,0.0,600,37.0,32.0,1.0
2024-05-29,THW Kiel,SC DHfK Leipzig,SC DHfK Leipzig,visitante,https://www.daikin-hbl.de/en/match/abad3b46-3961-11ef-940d-4f9b0a263832,295.0,28.0,594.0,3.0,1.0,27.0,6.0,4.0,5.0,0.0,21.0,0.0,28.0,11.0,24.0,37.0,0.0,0.0,11.0,26.0,0.0,0.0,0.0,0.0,600,37.0,32.0,
2024-05-29,TBV Lemgo Lippe,HBW Balingen-Weilstetten,TBV Lemgo Lippe,local,https://www.daikin-hbl.de/en/match/ab55487d-3961-11ef-a936-4f9b0a263832,314.0,37.0,874.0,4.0,3.0,34.0,12.0,1.0,2.0,1.0,10.0,0.0,119.0,12.0,128.0,26.0,3.0,125.0,9.0,28.0,0.0,0.0,0.0,0.0,598,37.0,28.0,1.0
2024-05-30,Füchse Berlin,Bergischer HC,Füchse Berlin,local,https://www.daikin-hbl.de/en/match/ab66afc3-3961-11ef-9c27-4f9b0a263832,332.0,29.0,569.0,2.0,5.0,24.0,15.0,2.0,0.0,1.0,10.0,0.0,183.0,11.0,43.0,29.0,0.0,0.0,11.0,48.0,0.0,1.0,0.0,0.0,601,29.0,30.0,0.0
2024-05-30,Rhein-Neckar Löwen,SC Magdeburg,Rhein-Neckar Löwen,local,https://www.daikin-hbl.de/en/match/ab9a7d47-3961-11ef-9ea2-4f9b0a263832,370.0,21.0,603.0,4.0,3.0,18.0,7.0,3.0,3.0,1.0,10.0,1.0,36.0,6.0,35.0,30.0,0.0,0.0,6.0,41.0,0.0,0.0,1.0,0.0,602,21.0,34.0,0.0
2024-05-30,Füchse Berlin,Bergischer HC,Bergischer HC,visitante,https://www.daikin-hbl.de/en/match/ab66afc3-3961-11ef-9c27-4f9b0a263832,250.0,30.0,797.0,3.0,4.0,26.0,11.0,1.0,2.0,3.0,12.0,2.0,13.0,15.0,85.0,27.0,1.0,50.0,14.0,39.0,0.0,1.0,0.0,0.0,601,29.0,30.0,
2024-05-30,SG Flensburg-Handewitt,VfL Gummersbach,SG Flensburg-Handewitt,local,https://www.daikin-hbl.de/en/match/ab79012b-3961-11ef-8af6-4f9b0a263832,374.0,28.0,460.0,6.0,2.0,26.0,14.0,0.0,2.0,3.0,14.0,0.0,21.0,15.0,33.0,31.0,0.0,0.0,15.0,34.0,0.0,0.0,0.0,0.0,603,28.0,34.0,0.0
2024-05-30,SG Flensburg-Handewitt,VfL Gummersbach,VfL Gummersbach,visitante,https://www.daikin-hbl.de/en/match/ab79012b-3961-11ef-8af6-4f9b0a263832,251.0,34.0,749.0,3.0,2.0,32.0,13.0,4.0,0.0,2.0,9.0,0.0,28.0,14.0,132.0,28.0,1.0,100.0,13.0,33.0,0.0,1.0,0.0,0.0,603,28.0,34.0,
2024-05-30,Rhein-Neckar Löwen,SC Magdeburg,SC Magdeburg,visitante,https://www.daikin-hbl.de/en/match/ab9a7d47-3961-11ef-9ea2-4f9b0a263832,257.0,34.0,823.0,2.0,3.0,31.0,11.0,2.0,2.0,1.0,7.0,0.0,86.0,17.0,94.0,21.0,0.0,0.0,17.0,98.0,0.0,0.0,0.0,0.0,602,21.0,34.0,
2024-06-02,MT Melsungen,THW Kiel,MT Melsungen,local,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,315.0,18.0,343.0,18.0,3.0,15.0,12.0,2.0,0.0,3.0,10.0,0.0,17.0,17.0,45.0,21.0,1.0,100.0,16.0,43.0,0.0,0.0,0.0,0.0,604,18.0,21.0,0.0
2024-06-02,MT Melsungen,THW Kiel,THW Kiel,visitante,https://www.daikin-hbl.de/en/match/abc088fb-3961-11ef-9ca9-4f9b0a263832,374.0,21.0,393.0,29.0,0.0,21.0,9.0,2.0,2.0,4.0,7.0,0.0,50.0,11.0,33.0,23.0,3.0,60.0,8.0,29.0,0.0,1.0,0.0,0.0,604,18.0,21.0,
2024-06-02,TSV Hannover-Burgdorf,HC Erlangen,TSV Hannover-Burgdorf,local,https://www.daikin-hbl.de/en/match/abd106ad-3961-11ef-bee2-4f9b0a263832,507.0,27.0,655.0,2.0,1.0,26.0,10.0,0.0,3.0,2.0,12.0,0.0,37.0,14.0,74.0,23.0,0.0,0.0,14.0,75.0,0.0,0.0,0.0,0.0,605,27.0,23.0,1.0
2024-06-02,HBW Balingen-Weilstetten,Handball Sport Verein Hamburg,HBW Balingen-Weilstetten,local,https://www.daikin-hbl.de/en/match/abfa0098-3961-11ef-af12-4f9b0a263832,201.0,37.0,812.0,3.0,5.0,32.0,15.0,2.0,0.0,3.0,5.0,0.0,28.0,11.0,30.0,30.0,6.0,86.0,5.0,17.0,0.0,0.0,0.0,0.0,606,37.0,24.0,1.0
2024-06-02,TSV Hannover-Burgdorf,HC Erlangen,HC Erlangen,visitante,https://www.daikin-hbl.de/en/match/abd106ad-3961-11ef-bee2-4f9b0a263832,557.0,23.0,540.0,3.0,1.0,22.0,12.0,4.0,0.0,5.0,9.0,1.0,38.0,8.0,25.0,26.0,0.0,0.0,8.0,25.0,0.0,1.0,0.0,0.0,605,27.0,23.0,
2024-06-02,SC DHfK Leipzig,Rhein-Neckar Löwen,SC DHfK Leipzig,local,https://www.daikin-hbl.de/en/match/abe52150-3961-11ef-b745-4f9b0a263832,295.0,29.0,617.0,5.0,2.0,27.0,15.0,2.0,5.0,2.0,10.0,0.0,28.0,12.0,59.0,24.0,1.0,25.0,11.0,86.0,0.0,0.0,0.0,0.0,607,29.0,30.0,0.0
