Fecha,Equipo local,Equipo visitante,Equipo,Tipo,Link,jugadores_#,jugadores_G,jugadores_T%,jugadores_MSh,jugadores_7M,jugadores_FG,jugadores_A,jugadores_B,jugadores_St,jugadores_2Min,jugadores_TF,jugadores_RC,porteros_#,porteros_S,porteros_S%,porteros_GKGA,porteros_S 7M,porteros_S% 7M,porteros_S FSh,porteros_S% FG,porteros_G,porteros_A,porteros_2Min,porteros_RC,Resultado,Jornada
"Jun 11, 2023",SG Flensburg-Handewitt,Rhein-Neckar Löwen,SG Flensburg-Handewitt,local,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,445.0,33.0,650.0,5.0,1.0,32.0,14.0,3.0,3.0,3.0,11.0,0.0,21.0,19.0,38.0,31.0,1.0,25.0,18.0,39.0,1.0,1.0,0.0,0.0,34 - 31,34
"Jun 11, 2023",SG Flensburg-Handewitt,Rhein-Neckar Löwen,Rhein-Neckar Löwen,visitante,https://www.daikin-hbl.de/en/match/5090c12b-3961-11ef-b946-7fa33ac8682b,304.0,31.0,614.0,2.0,3.0,28.0,14.0,1.0,1.0,4.0,10.0,1.0,30.0,19.0,38.0,31.0,3.0,75.0,16.0,35.0,0.0,0.0,0.0,0.0,34 - 31,34
"Jun 11, 2023",HSG Wetzlar,SC Magdeburg,HSG Wetzlar,local,https://www.daikin-hbl.de/en/match/509f543a-3961-11ef-ba77-7fa33ac8682b,342.0,30.0,677.0,6.0,2.0,28.0,14.0,0.0,2.0,2.0,13.0,0.0,27.0,12.0,28.0,32.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,30 - 35,34
"Jun 11, 2023",HSG Wetzlar,SC Magdeburg,SC Magdeburg,visitante,https://www.daikin-hbl.de/en/match/509f543a-3961-11ef-ba77-7fa33ac8682b,263.0,33.0,772.0,7.0,3.0,30.0,15.0,2.0,2.0,2.0,6.0,0.0,81.0,14.0,32.0,30.0,1.0,33.0,13.0,32.0,2.0,0.0,0.0,0.0,30 - 35,34
"Jun 11, 2023",TBV Lemgo Lippe,Füchse Berlin,TBV Lemgo Lippe,local,https://www.daikin-hbl.de/en/match/50af09e0-3961-11ef-8eaa-7fa33ac8682b,243.0,35.0,695.0,3.0,1.0,34.0,16.0,2.0,2.0,3.0,10.0,0.0,119.0,12.0,46.0,31.0,1.0,50.0,11.0,45.0,0.0,0.0,0.0,0.0,35 - 32,34
"Jun 11, 2023",TBV Lemgo Lippe,Füchse Berlin,Füchse Berlin,visitante,https://www.daikin-hbl.de/en/match/50af09e0-3961-11ef-8eaa-7fa33ac8682b,423.0,32.0,625.0,6.0,1.0,31.0,12.0,3.0,0.0,5.0,5.0,0.0,183.0,8.0,36.0,34.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,35 - 32,34
"Jun 11, 2023",FRISCH AUF! Göppingen,THW Kiel,FRISCH AUF! Göppingen,local,https://www.daikin-hbl.de/en/match/50c04fa4-3961-11ef-a004-7fa33ac8682b,321.0,27.0,649.0,7.0,2.0,25.0,13.0,0.0,4.0,1.0,13.0,0.0,28.0,7.0,33.0,34.0,0.0,0.0,7.0,34.0,0.0,1.0,0.0,0.0,27 - 34,34
"Jun 11, 2023",FRISCH AUF! Göppingen,THW Kiel,THW Kiel,visitante,https://www.daikin-hbl.de/en/match/50c04fa4-3961-11ef-a004-7fa33ac8682b,298.0,34.0,937.0,4.0,1.0,33.0,16.0,1.0,3.0,2.0,17.0,0.0,17.0,13.0,131.0,27.0,0.0,0.0,13.0,132.0,0.0,0.0,0.0,0.0,27 - 34,34
"Jun 11, 2023",TVB Stuttgart,TSV Hannover-Burgdorf,TVB Stuttgart,local,https://www.daikin-hbl.de/en/match/50d14770-3961-11ef-a1c4-7fa33ac8682b,261.0,31.0,688.0,3.0,4.0,27.0,9.0,2.0,3.0,5.0,15.0,0.0,28.0,6.0,29.0,30.0,1.0,100.0,5.0,26.0,0.0,3.0,0.0,0.0,31 - 34,34
"Jun 11, 2023",TVB Stuttgart,TSV Hannover-Burgdorf,TSV Hannover-Burgdorf,visitante,https://www.daikin-hbl.de/en/match/50d14770-3961-11ef-a1c4-7fa33ac8682b,422.0,33.0,766.0,8.0,1.0,32.0,10.0,3.0,3.0,3.0,13.0,0.0,22.0,8.0,37.0,28.0,1.0,33.0,7.0,39.0,1.0,0.0,0.0,0.0,31 - 34,34
